protocol_type,service,duration,src_bytes,dst_bytes,src_pkts,dst_pkts,byte_ratio,pkt_ratio,label
0,0,0.000188,90.0,122.0,2,2,0.7317073170731707,0.6666666666666666,0
0,0,0.090895,42.0,92.0,1,1,0.4516129032258064,0.5,0
0,5,5.843968,372.0,3275.0,8,5,0.1135531135531135,1.3333333333333333,0
0,0,0.00017,82.0,240.0,2,2,0.3402489626556016,0.6666666666666666,0
0,0,0.000168,74.0,154.0,2,2,0.4774193548387097,0.6666666666666666,0
1,3,63.137126,0.0,0.0,7,0,0.0,7.0,5
0,3,0.032606,0.0,0.0,1,1,0.0,0.5,0
0,22,0.122937,18.0,0.0,3,0,18.0,3.0,0
1,21,1.6e-05,0.0,0.0,1,1,0.0,0.5,11
0,0,0.030814,68.0,214.0,2,2,0.3162790697674418,0.6666666666666666,0
0,22,2.9e-05,6.0,6.0,1,1,0.8571428571428571,0.5,0
0,0,0.000233,82.0,254.0,2,2,0.3215686274509804,0.6666666666666666,0
0,1,5e-05,0.0,0.0,1,2,0.0,0.3333333333333333,0
0,22,4e-06,29.0,0.0,2,0,29.0,2.0,0
0,3,0.059007,430.0,2266.0,4,5,0.1896779885310983,0.6666666666666666,0
0,0,0.050937,94.0,220.0,2,2,0.4253393665158371,0.6666666666666666,0
0,0,0.023746,81.0,159.0,1,1,0.50625,0.5,0
0,22,0.001975,0.0,0.0,2,0,0.0,2.0,0
0,0,0.077566,188.0,350.0,4,2,0.5356125356125356,1.3333333333333333,0
0,22,4.8e-05,4.0,0.0,2,0,4.0,2.0,0
0,21,1.272513,2622.0,7038.0,35,40,0.3724960931950561,0.8536585365853658,0
0,0,0.000173,70.0,254.0,2,2,0.2745098039215686,0.6666666666666666,0
0,0,0.000211,74.0,154.0,2,2,0.4774193548387097,0.6666666666666666,0
0,5,31.11167,1356.0,6654.0,12,11,0.2037565740045079,1.0,0
0,22,0.252064,31.0,18.0,2,3,1.631578947368421,0.5,0
0,22,4e-06,0.0,0.0,2,0,0.0,2.0,0
0,0,0.023361,54.0,110.0,1,1,0.4864864864864865,0.5,0
0,22,5.1e-05,4.0,12.0,2,2,0.3076923076923077,0.6666666666666666,0
0,22,9.518768,6.0,30.0,1,5,0.1935483870967742,0.1666666666666666,0
0,0,0.115155,164.0,212.0,4,2,0.7699530516431925,1.3333333333333333,0
0,5,3e-06,31.0,0.0,2,0,31.0,2.0,0
0,5,13.288687,3638.0,6822.0,9,11,0.5331965411109483,0.75,0
0,0,0.023543,68.0,238.0,2,2,0.2845188284518828,0.6666666666666666,0
0,5,5.242149,599.0,137.0,7,4,4.340579710144928,1.4,0
0,5,0.039243,0.0,6.0,1,1,0.0,0.5,0
0,5,36.479704,726.0,8538.0,13,11,0.0850216653003864,1.0833333333333333,0
0,0,0.039469,58.0,154.0,2,2,0.3741935483870968,0.6666666666666666,0
0,3,5.406285,773.0,802.0,4,4,0.962640099626401,0.8,0
0,0,0.000212,156.0,412.0,2,2,0.3777239709443099,0.6666666666666666,0
0,5,3e-06,0.0,0.0,2,0,0.0,2.0,0
0,3,30.221781,667.0,567.0,6,4,1.1742957746478873,1.2,0
0,5,5.464669,599.0,156.0,7,4,3.8152866242038215,1.4,0
0,22,5.5e-05,0.0,0.0,1,1,0.0,0.5,0
0,0,0.030698,60.0,76.0,1,1,0.7792207792207793,0.5,0
0,0,0.00019,66.0,174.0,2,2,0.3771428571428571,0.6666666666666666,0
0,22,6.6e-05,31.0,6.0,2,1,4.428571428571429,1.0,0
0,0,0.000185,64.0,96.0,2,2,0.6597938144329897,0.6666666666666666,0
0,0,0.000208,58.0,382.0,2,2,0.1514360313315927,0.6666666666666666,0
0,22,0.001449,0.0,0.0,2,0,0.0,2.0,0
0,0,0.000737,48.0,76.0,1,1,0.6233766233766234,0.5,0
0,0,0.000275,74.0,714.0,2,2,0.1034965034965035,0.6666666666666666,0
0,22,1e-06,0.0,0.0,2,0,0.0,2.0,0
0,3,65.188281,717.0,525.0,10,10,1.3631178707224334,0.9090909090909092,0
0,5,0.295063,657.0,356.0,7,6,1.8403361344537807,1.0,0
0,22,1.8e-05,6.0,6.0,1,1,0.8571428571428571,0.5,0
0,5,65.200054,3684.0,7820.0,14,17,0.4710395090141925,0.7777777777777778,0
0,5,0.000639,31.0,0.0,3,0,31.0,3.0,0
0,3,15.052079,785.0,758.0,6,5,1.0342555994729907,1.0,0
0,5,118.220304,581.0,4701.0,15,13,0.1235644406635474,1.0714285714285714,0
0,22,0.000107,4.0,12.0,2,2,0.3076923076923077,0.6666666666666666,0
0,0,0.000178,88.0,120.0,2,2,0.7272727272727273,0.6666666666666666,0
0,0,0.000184,72.0,286.0,2,2,0.2508710801393728,0.6666666666666666,0
0,22,3e-06,37.0,0.0,2,0,37.0,2.0,0
0,22,4e-06,247.0,0.0,2,0,247.0,2.0,0
0,0,0.023999,64.0,176.0,2,2,0.3615819209039548,0.6666666666666666,0
0,22,4.9e-05,4.0,0.0,2,0,4.0,2.0,0
0,0,0.000249,68.0,248.0,2,2,0.2730923694779116,0.6666666666666666,0
0,13,0.024405,48.0,48.0,1,1,0.979591836734694,0.5,0
0,0,0.000375,82.0,632.0,2,2,0.1295418641390205,0.6666666666666666,0
0,0,0.000139,88.0,120.0,2,2,0.7272727272727273,0.6666666666666666,0
0,0,0.061682,49.0,81.0,1,1,0.5975609756097561,0.5,0
0,5,60.394015,5246.0,3219.0,13,14,1.629192546583851,0.8666666666666667,0
0,5,3e-06,12.0,0.0,2,0,12.0,2.0,0
0,5,115.825338,2038.0,1934.0,19,17,1.0532299741602067,1.0555555555555556,0
0,0,0.061162,84.0,182.0,2,2,0.4590163934426229,0.6666666666666666,0
0,0,0.000193,66.0,98.0,2,2,0.6666666666666666,0.6666666666666666,0
0,0,0.031348,68.0,180.0,2,2,0.3756906077348066,0.6666666666666666,0
0,0,0.000211,72.0,192.0,2,2,0.3730569948186528,0.6666666666666666,0
0,22,0.064905,31.0,6.0,3,1,4.428571428571429,1.5,0
1,3,9e-05,8.0,0.0,1,1,8.0,0.5,6
0,5,0.127231,713.0,479.0,10,5,1.4854166666666666,1.6666666666666667,0
0,22,3e-06,4.0,0.0,2,0,4.0,2.0,0
0,0,4.9e-05,64.0,96.0,2,2,0.6597938144329897,0.6666666666666666,0
0,22,5.2e-05,259.0,0.0,4,0,259.0,4.0,0
0,0,0.000217,94.0,206.0,2,2,0.4541062801932367,0.6666666666666666,0
0,0,0.030905,148.0,298.0,4,2,0.4949832775919732,1.3333333333333333,0
0,22,4e-06,12.0,0.0,2,0,12.0,2.0,0
0,22,2.9e-05,0.0,0.0,1,1,0.0,0.5,0
0,3,6.392616,2312.0,2825.0,12,6,0.8181174805378627,1.7142857142857142,0
0,5,4.7e-05,12.0,0.0,2,0,12.0,2.0,0
0,5,115.954181,792.0,7153.0,22,20,0.110707296617277,1.0476190476190477,0
0,0,0.070194,78.0,448.0,2,2,0.1737193763919821,0.6666666666666666,0
0,5,1.1e-05,6.0,37.0,1,2,0.1578947368421052,0.3333333333333333,0
0,0,0.00016,80.0,112.0,2,2,0.7079646017699115,0.6666666666666666,0
0,5,0.068149,12.0,0.0,2,0,12.0,2.0,0
0,22,3e-06,0.0,0.0,2,0,0.0,2.0,0
0,0,0.108515,62.0,134.0,2,2,0.4592592592592592,0.6666666666666666,0
0,0,0.034686,55.0,136.0,1,1,0.4014598540145985,0.5,0
0,1,5e-05,0.0,0.0,1,2,0.0,0.3333333333333333,0
0,3,0.001419,0.0,0.0,2,0,0.0,2.0,0
0,0,0.117424,48.0,150.0,1,1,0.3178807947019867,0.5,0
0,3,0.491861,251.0,2404.0,5,3,0.1043659043659043,1.25,0
0,3,49.16088,2309.0,221284.0,86,153,0.0104345075355311,0.5584415584415584,0
